PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,TYPE,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
18. Jamie Benn,DAL,29,"Jul 18, 1989",Canada,205 lbs - 93 kg,6' 2 - 188 cm,LW,Left,129 - Round 5 - 2007 (DAL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 15, 2016",26,,,NMC,8,UFA,UFA,2025,"$9,500,000",13.0%,"$9,500,000","$13,000,000","$5,000,000","$13,000,000","$8,000,000",$0
19. Jeff Skinner,BUF,27,"May 16, 1992",Canada,187 lbs - 85 kg,5' 11 - 180 cm,"LW, RW",Left,7 - Round 1 - 2010 (CAR),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 7, 2019",27,,,NMC,8,UFA,UFA,2027,"$9,000,000",11.3%,"$9,000,000","$10,000,000","$10,000,000","$10,000,000",$0,$0
20. P.K. Subban,NJD,30,"May 13, 1989",Canada,210 lbs - 95 kg,6' 0 - 183 cm,D,Right,43 - Round 2 - 2007 (MTL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Aug 2, 2014",25,✔,✔,,8,RFA,UFA,2022,"$9,000,000",13.0%,"$9,000,000","$10,000,000","$10,000,000","$10,000,000",$0,$0
21. Sidney Crosby,PIT,31,"Aug 7, 1987",Canada,200 lbs - 91 kg,5' 11 - 180 cm,C,Left,1 - Round 1 - 2005 (PIT),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2012",25,,,NMC,12,UFA,UFA,2025,"$8,700,000",14.5%,"$8,700,000","$9,000,000","$9,000,000","$9,000,000",$0,$0
22. Leon Draisaitl,EDM,23,"Oct 27, 1995",Germany,208 lbs - 94 kg,6' 2 - 188 cm,"C, LW, RW",Left,3 - Round 1 - 2014 (EDM),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Aug 16, 2017",21,,,,8,RFA,UFA,2025,"$8,500,000",11.3%,"$8,500,000","$9,000,000","$9,000,000","$9,000,000",$0,$0
23. Steven Stamkos,TBL,29,"Feb 7, 1990",Canada,194 lbs - 88 kg,6' 1 - 185 cm,C,Right,1 - Round 1 - 2008 (TBL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 29, 2016",26,,,NMC,8,UFA,UFA,2024,"$8,500,000",11.6%,"$8,500,000","$9,500,000","$1,000,000","$9,500,000","$8,500,000",$0
24. Henrik Lundqvist,NYR,37,"Mar 2, 1982",Sweden,180 lbs - 82 kg,6' 1 - 185 cm,G,Left,205 - Round 7 - 2000 (NYR),,,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (1-way),"Dec 4, 2013",31,,,NMC,7,UFA,UFA,2021,"$8,500,000",13.2%,"$8,500,000","$7,000,000","$6,000,000","$7,000,000","$1,000,000",$0
25. Sebastian Aho,CAR,21,"Jul 26, 1997",Finland,176 lbs - 80 kg,6' 0 - 183 cm,"C, LW",Left,35 - Round 2 - 2015 (CAR),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2019",21,,,,5,RFA,UFA,2024,"$8,454,000",10.4%,"$8,454,000","$12,000,000","$700,000","$12,000,000","$11,300,000",$0
26. Claude Giroux,PHI,31,"Jan 12, 1988",Canada,185 lbs - 84 kg,5' 11 - 180 cm,"LW, C, RW",Right,22 - Round 1 - 2006 (PHI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 4, 2013",25,✔,,NMC,8,RFA,UFA,2022,"$8,275,000",12.9%,"$8,275,000","$8,000,000","$5,000,000","$8,000,000","$3,000,000",$0
27. Ryan Getzlaf,ANA,34,"May 10, 1985",Canada,225 lbs - 102 kg,6' 4 - 193 cm,C,Right,19 - Round 1 - 2003 (ANA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Mar 8, 2013",27,,,NMC,8,UFA,UFA,2021,"$8,250,000",12.8%,"$8,250,000","$8,275,000","$8,275,000","$8,275,000",$0,$0
28. Jakub Voracek,PHI,29,"Aug 15, 1989",Czech Republic,214 lbs - 97 kg,6' 2 - 188 cm,RW,Left,7 - Round 1 - 2007 (CBJ),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 30, 2015",25,,,,8,UFA,UFA,2024,"$8,250,000",11.6%,"$8,250,000","$9,250,000","$7,250,000","$9,250,000","$2,000,000",$0
29. Oliver Ekman-Larsson,ARI,27,"Jul 17, 1991",Sweden,200 lbs - 91 kg,6' 2 - 188 cm,D,Left,6 - Round 1 - 2009 (ARI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2018",27,,,NMC,8,UFA,UFA,2027,"$8,250,000",10.4%,"$8,250,000","$8,000,000","$8,000,000","$8,000,000",$0,$0
30. Blake Wheeler,WPG,32,"Aug 31, 1986",United States,225 lbs - 102 kg,6' 5 - 196 cm,RW,Right,5 - Round 1 - 2004 (ARI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Sep 4, 2018",32,,,NMC,5,UFA,UFA,2024,"$8,250,000",10.4%,"$8,250,000","$10,000,000","$6,000,000","$10,000,000","$4,000,000",$0
31. Logan Couture,SJS,30,"Mar 28, 1989",Canada,200 lbs - 91 kg,6' 1 - 185 cm,"C, LW",Left,9 - Round 1 - 2007 (SJS),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2018",30,,,M-NTC,8,UFA,UFA,2027,"$8,000,000",10.1%,"$8,000,000","$10,000,000","$6,000,000","$10,000,000","$4,000,000",$0
32. Brent Burns,SJS,34,"Mar 9, 1985",Canada,230 lbs - 104 kg,6' 5 - 196 cm,D,Right,20 - Round 1 - 2003 (MIN),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Nov 22, 2016",32,,,M-NTC,8,UFA,UFA,2025,"$8,000,000",11.0%,"$8,000,000","$10,000,000","$5,000,000","$10,000,000","$5,000,000",$0
33. Phil Kessel,ARI,31,"Oct 2, 1987",United States,202 lbs - 92 kg,6' 0 - 183 cm,RW,Right,5 - Round 1 - 2006 (BOS),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Oct 1, 2013",25,,,"M-NTC, NMC",8,UFA,UFA,2022,"$8,000,000",12.4%,"$8,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
34. Jacob Trouba,NYR,25,"Feb 26, 1994",United States,202 lbs - 92 kg,6' 3 - 191 cm,D,Right,9 - Round 1 - 2012 (WPG),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 19, 2019",25,✔,✔,,7,RFA,UFA,2026,"$8,000,000",9.8%,"$8,000,000","$12,000,000","$4,000,000","$12,000,000","$8,000,000",$0
35. Ryan Johansen,NSH,26,"Jul 31, 1992",Canada,218 lbs - 99 kg,6' 3 - 191 cm,"C, RW",Right,4 - Round 1 - 2010 (CBJ),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 28, 2017",24,✔,,,8,RFA,UFA,2025,"$8,000,000",10.7%,"$8,000,000","$8,000,000","$8,000,000","$8,000,000",$0,$0
36. Matt Duchene,NSH,28,"Jan 16, 1991",Canada,195 lbs - 88 kg,5' 11 - 180 cm,"C, LW",Left,3 - Round 1 - 2009 (COL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2019",28,,,,7,UFA,UFA,2026,"$8,000,000",9.8%,"$8,000,000","$10,000,000","$2,000,000","$10,000,000","$8,000,000",$0
37. John Carlson,WSH,29,"Jan 10, 1990",United States,218 lbs - 99 kg,6' 3 - 191 cm,D,Right,27 - Round 1 - 2008 (WSH),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 25, 2018",28,,,M-NTC,8,UFA,UFA,2026,"$8,000,000",10.1%,"$8,000,000","$12,000,000","$5,500,000","$12,000,000","$6,500,000",$0
38. Victor Hedman,TBL,28,"Dec 18, 1990",Sweden,223 lbs - 101 kg,6' 6 - 198 cm,D,Left,2 - Round 1 - 2009 (TBL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2016",25,,,NMC,8,UFA,UFA,2025,"$7,875,000",10.8%,"$7,875,000","$8,000,000","$8,000,000","$8,000,000",$0,$0
39. Shea Weber,MTL,33,"Aug 14, 1985",Canada,229 lbs - 104 kg,6' 4 - 193 cm,D,Right,49 - Round 2 - 2003 (NSH),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 24, 2012",26,✔,,,14,RFA,UFA,2026,"$7,857,143",13.1%,"$7,857,143","$6,000,000","$6,000,000","$6,000,000",$0,$0
40. Evgeny Kuznetsov,WSH,27,"May 19, 1992",Russia,204 lbs - 93 kg,6' 2 - 188 cm,C,Left,26 - Round 1 - 2010 (WSH),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 2, 2017",25,✔,,M-NTC,8,RFA,UFA,2025,"$7,800,000",10.4%,"$7,800,000","$8,400,000","$3,400,000","$8,400,000","$5,000,000",$0
41. Dustin Byfuglien,WPG,34,"Mar 27, 1985",United States,260 lbs - 118 kg,6' 5 - 196 cm,D,Right,245 - Round 8 - 2003 (CHI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Feb 8, 2016",30,,,M-NTC,5,UFA,UFA,2021,"$7,600,000",10.4%,"$7,600,000","$8,000,000","$8,000,000","$8,000,000",$0,$0
42. Zach Parise,MIN,34,"Jul 28, 1984",United States,193 lbs - 88 kg,5' 11 - 180 cm,LW,Left,17 - Round 1 - 2003 (NJD),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 4, 2012",27,,,NMC,13,UFA,UFA,2025,"$7,538,461",12.6%,"$7,538,461","$9,000,000","$9,000,000","$9,000,000",$0,$0
43. Ryan Suter,MIN,34,"Jan 21, 1985",United States,208 lbs - 94 kg,6' 2 - 188 cm,D,Left,7 - Round 1 - 2003 (NSH),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 4, 2012",27,,,NMC,13,UFA,UFA,2025,"$7,538,461",12.6%,"$7,538,461","$9,000,000","$9,000,000","$9,000,000",$0,$0
44. Aaron Ekblad,FLA,23,"Feb 7, 1996",Canada,220 lbs - 100 kg,6' 4 - 193 cm,D,Right,1 - Round 1 - 2014 (FLA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2016",20,,,,8,RFA,UFA,2025,"$7,500,000",10.3%,"$7,500,000","$9,000,000","$5,000,000","$9,000,000","$4,000,000",$0
45. Ryan O'Reilly,STL,28,"Feb 7, 1991",Canada,216 lbs - 98 kg,6' 1 - 185 cm,C,Left,33 - Round 2 - 2009 (COL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 3, 2015",24,,,,7,UFA,UFA,2023,"$7,500,000",10.5%,"$7,500,000","$6,000,000","$1,000,000","$6,000,000","$5,000,000",$0
46. Vladimir Tarasenko,STL,27,"Dec 13, 1991",Russia,225 lbs - 102 kg,6' 0 - 183 cm,RW,Left,16 - Round 1 - 2010 (STL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 7, 2015",23,,,NTC,8,RFA,UFA,2023,"$7,500,000",10.3%,"$7,500,000","$9,500,000","$9,500,000","$9,500,000",$0,$0
47. Bobby Ryan,OTT,32,"Mar 17, 1987",United States,209 lbs - 95 kg,6' 2 - 188 cm,"RW, LW",Right,2 - Round 1 - 2005 (ANA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Oct 2, 2014",28,,,"M-NTC, NMC",7,UFA,UFA,2022,"$7,250,000",10.5%,"$7,250,000","$7,500,000","$5,500,000","$7,500,000","$2,000,000",$0
48. Kris Letang,PIT,32,"Apr 24, 1987",Canada,201 lbs - 91 kg,6' 0 - 183 cm,D,Right,62 - Round 3 - 2005 (PIT),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2013",27,,,"M-NTC, NMC",8,UFA,UFA,2022,"$7,250,000",11.3%,"$7,250,000","$7,250,000","$7,250,000","$7,250,000",$0,$0
49. David Krejci,BOS,33,"Apr 28, 1986",Czech Republic,188 lbs - 85 kg,6' 0 - 183 cm,C,Right,63 - Round 2 - 2004 (BOS),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Sep 7, 2014",28,,,M-NTC,6,UFA,UFA,2021,"$7,250,000",10.5%,"$7,250,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
50. Kevin Hayes,PHI,27,"May 8, 1992",United States,216 lbs - 98 kg,6' 5 - 196 cm,C,Left,24 - Round 1 - 2010 (CHI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 18, 2019",27,,,NMC,7,UFA,UFA,2026,"$7,142,857",9.0%,"$7,142,857","$9,000,000","$4,000,000","$9,000,000","$5,000,000",$0
51. Marc-André Fleury,VGK,34,"Nov 28, 1984",Canada,180 lbs - 82 kg,6' 2 - 188 cm,G,Left,1 - Round 1 - 2003 (PIT),,,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (1-way),"Jul 13, 2018",34,,,M-NTC,3,UFA,UFA,2022,"$7,000,000",8.8%,"$7,000,000","$8,500,000","$8,500,000","$8,500,000",$0,$0
52. Tuukka Rask,BOS,32,"Mar 10, 1987",Finland,176 lbs - 80 kg,6' 3 - 191 cm,G,Left,21 - Round 1 - 2005 (TOR),,,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (1-way),"Jul 10, 2013",26,✔,,M-NTC,8,RFA,UFA,2021,"$7,000,000",10.9%,"$7,000,000","$6,500,000","$6,500,000","$6,500,000",$0,$0
53. Marc-Édouard Vlasic,SJS,32,"Mar 30, 1987",Canada,205 lbs - 93 kg,6' 1 - 185 cm,D,Left,35 - Round 2 - 2005 (SJS),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2017",31,,,NMC,8,UFA,UFA,2026,"$7,000,000",9.3%,"$7,000,000","$7,250,000","$6,250,000","$7,250,000","$1,000,000",$0
54. James van Riemsdyk,PHI,30,"May 5, 1989",United States,217 lbs - 98 kg,6' 3 - 191 cm,LW,Left,2 - Round 1 - 2007 (PHI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2018",29,,,,5,UFA,UFA,2023,"$7,000,000",8.8%,"$7,000,000","$8,000,000","$7,000,000","$8,000,000","$1,000,000",$0
55. Anders Lee,NYI,28,"Jul 3, 1990",United States,231 lbs - 105 kg,6' 3 - 191 cm,"LW, C",Left,152 - Round 6 - 2009 (NYI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2019",28,,,NTC,7,UFA,UFA,2026,"$7,000,000",8.6%,"$7,000,000","$9,000,000","$6,000,000","$9,000,000","$3,000,000",$0
56. Max Pacioretty,VGK,30,"Nov 20, 1988",United States,206 lbs - 93 kg,6' 2 - 188 cm,LW,Left,22 - Round 1 - 2007 (MTL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Sep 10, 2018",30,,,M-NTC,4,UFA,UFA,2023,"$7,000,000",8.8%,"$7,000,000","$10,500,000","$10,500,000","$10,500,000",$0,$0
57. Evander Kane,SJS,27,"Aug 2, 1991",Canada,210 lbs - 95 kg,6' 2 - 188 cm,LW,Left,4 - Round 1 - 2009 (ATL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"May 24, 2018",26,,,M-NTC,7,UFA,UFA,2025,"$7,000,000",9.3%,"$7,000,000","$8,000,000","$6,000,000","$8,000,000","$2,000,000",$0
58. Joe Pavelski,DAL,34,"Jul 11, 1984",United States,190 lbs - 86 kg,5' 11 - 180 cm,"RW, C",Right,205 - Round 7 - 2003 (SJS),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2019",34,,,NMC,3,UFA,UFA,2022,"$7,000,000",8.6%,"$7,000,000","$8,000,000","$6,000,000","$8,000,000","$2,000,000",$0
59. William Nylander,TOR,23,"May 1, 1996",Canada,191 lbs - 87 kg,6' 0 - 183 cm,"RW, C",Right,8 - Round 1 - 2014 (TOR),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Dec 1, 2018",22,,,,6,RFA,UFA,2024,"$6,962,366",12.9%,"$6,962,366","$9,000,000","$700,000","$9,000,000","$8,300,000",$0
60. Patrice Bergeron,BOS,33,"Jul 24, 1985",Canada,195 lbs - 88 kg,6' 1 - 185 cm,C,Right,45 - Round 2 - 2003 (BOS),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 12, 2013",28,,,NMC,8,UFA,UFA,2022,"$6,875,000",10.7%,"$6,875,000","$4,375,000","$875,000","$4,375,000","$3,500,000",$0
61. Ryan Kesler,ANA,34,"Aug 31, 1984",United States,206 lbs - 93 kg,6' 2 - 188 cm,"C, RW",Right,23 - Round 1 - 2003 (VAN),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 15, 2015",31,,,NMC,6,UFA,UFA,2022,"$6,875,000",9.6%,"$6,875,000","$6,675,000","$6,675,000","$6,675,000",$0,$0
62. Brent Seabrook,CHI,34,"Apr 20, 1985",Canada,220 lbs - 100 kg,6' 3 - 191 cm,D,Right,14 - Round 1 - 2003 (CHI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Sep 26, 2015",31,,,NMC,8,UFA,UFA,2024,"$6,875,000",9.6%,"$6,875,000","$7,500,000","$4,000,000","$7,500,000","$3,500,000",$0
63. Ryan McDonagh,TBL,30,"Jun 13, 1989",United States,215 lbs - 98 kg,6' 1 - 185 cm,D,Left,12 - Round 1 - 2007 (MTL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2018",30,,,NTC,7,UFA,UFA,2026,"$6,750,000",8.5%,"$6,750,000","$8,400,000","$8,400,000","$8,400,000",$0,$0
64. Mark Giordano,CGY,35,"Oct 3, 1983",Canada,200 lbs - 91 kg,6' 1 - 185 cm,D,Left,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Aug 25, 2015",31,,,NTC,6,UFA,UFA,2022,"$6,750,000",9.2%,"$6,750,000","$6,750,000","$6,750,000","$6,750,000",$0,$0
65. Johnny Gaudreau,CGY,25,"Aug 13, 1993",United States,165 lbs - 75 kg,5' 9 - 175 cm,LW,Left,104 - Round 4 - 2011 (CGY),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Oct 10, 2016",22,,,,6,RFA,UFA,2022,"$6,750,000",9.2%,"$6,750,000","$6,750,000","$6,750,000","$6,750,000",$0,$0
66. Nicklas Bäckström,WSH,31,"Nov 23, 1987",Sweden,210 lbs - 95 kg,6' 1 - 185 cm,C,Left,4 - Round 1 - 2006 (WSH),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"May 17, 2010",22,,,M-NTC,10,RFA,UFA,2020,"$6,700,000",11.3%,"$6,700,000","$8,000,000","$8,000,000","$8,000,000",$0,$0
